Frame,GridMask...,img_backbone...,img_neck...,pts_bbox_head.get_bev_features,pts_bbox_head.get_detections...,UniADTrack.simple_test_track,PansegformerHead.forward_test,MotionHead.forward_test,OccHead.forward_test,PlanningHeadSingleMode.forward_test,velo_update...
98,8966.0,18050.0,8089.0,17513.0,18767.0,109628.0,18783.0,18841.0,18047.0,19130.0,9215.0
99,18273.0,9536.0,8161.0,17814.0,17721.0,108977.0,9267.0,18744.0,19368.0,9453.0,8684.0
100,8745.0,18687.0,7945.0,18806.0,8830.0,101432.0,18328.0,29791.0,9439.0,10000.0,9642.0
101,9058.0,8944.0,8606.0,17781.0,19070.0,91488.0,27660.0,18440.0,19049.0,8012.0,8447.0
102,8544.0,18213.0,8480.0,18203.0,8095.0,99781.0,28634.0,18732.0,18256.0,9424.0,8820.0
103,8863.0,18898.0,7274.0,18988.0,19204.0,111254.0,28938.0,18949.0,28908.0,9154.0,8860.0
104,8592.0,17896.0,9507.0,18877.0,19559.0,103614.0,29471.0,18969.0,17954.0,19028.0,9172.0
105,8653.0,18205.0,8743.0,18773.0,19565.0,110907.0,17850.0,19534.0,18032.0,18953.0,8202.0
106,9141.0,18739.0,7477.0,18834.0,19295.0,112154.0,28034.0,19077.0,8431.0,10121.0,8881.0
107,7660.0,28054.0,8744.0,18936.0,18032.0,119021.0,18732.0,18631.0,19690.0,18976.0,8410.0
108,8982.0,19088.0,7435.0,17978.0,19367.0,107995.0,18589.0,19783.0,28584.0,18963.0,7851.0
109,9226.0,19162.0,9196.0,18570.0,8323.0,91216.0,18746.0,19022.0,18806.0,8567.0,7625.0
110,7038.0,18971.0,8341.0,7610.0,19370.0,97785.0,19152.0,19177.0,17989.0,9385.0,8172.0
111,8924.0,19226.0,9032.0,18525.0,18099.0,99942.0,18117.0,18097.0,18849.0,9532.0,7196.0
112,8616.0,18081.0,9156.0,18946.0,9082.0,102012.0,19181.0,19304.0,8010.0,19132.0,8741.0
113,9359.0,18968.0,8905.0,18975.0,18564.0,111796.0,19291.0,18696.0,19438.0,27510.0,7876.0
114,8005.0,17586.0,8273.0,19197.0,8664.0,89173.0,28410.0,8135.0,18592.0,28739.0,8399.0
115,8719.0,18792.0,9256.0,18527.0,8473.0,111139.0,19665.0,19658.0,18567.0,38311.0,9158.0
116,8535.0,18794.0,8745.0,28576.0,9240.0,120657.0,28065.0,18700.0,18243.0,48571.0,7351.0
117,8937.0,18589.0,8333.0,18050.0,9556.0,108114.0,28079.0,18156.0,18753.0,38666.0,7481.0
118,8449.0,18508.0,9375.0,18389.0,8484.0,101654.0,29232.0,29669.0,18731.0,18953.0,9097.0
119,8137.0,19656.0,9380.0,18673.0,18500.0,93238.0,28513.0,18319.0,18650.0,48059.0,
120,8114.0,19007.0,9110.0,28217.0,18795.0,121564.0,19118.0,18896.0,18886.0,58564.0,8648.0
121,9469.0,28219.0,9277.0,18369.0,9086.0,110714.0,29120.0,9118.0,18638.0,57709.0,8371.0
122,8749.0,8524.0,8186.0,19484.0,18078.0,99195.0,18493.0,8955.0,18837.0,59303.0,8038.0
123,9256.0,18972.0,9721.0,19142.0,8590.0,104015.0,18828.0,19767.0,9411.0,59824.0,8768.0
124,9383.0,18703.0,8591.0,18029.0,18726.0,100660.0,19803.0,8674.0,19407.0,60131.0,8184.0
125,8549.0,17655.0,8557.0,8355.0,18856.0,99921.0,19300.0,18889.0,9393.0,59134.0,8758.0
126,8795.0,18177.0,9384.0,18767.0,18404.0,102031.0,19158.0,28626.0,18633.0,67940.0,8948.0
127,8738.0,18403.0,8541.0,27841.0,8876.0,109212.0,18397.0,9065.0,18139.0,38475.0,9322.0
128,8331.0,8175.0,8652.0,18033.0,18641.0,99172.0,18082.0,19188.0,8536.0,38515.0,8798.0
129,9763.0,19641.0,9184.0,18348.0,18529.0,110693.0,18756.0,8915.0,18277.0,29417.0,8367.0
130,8779.0,28262.0,7576.0,19305.0,9012.0,98609.0,19208.0,19046.0,19009.0,19015.0,7713.0
131,8198.0,7343.0,9496.0,18436.0,17245.0,88681.0,18173.0,19589.0,8698.0,8482.0,8797.0
132,8902.0,18081.0,8860.0,18749.0,9234.0,102014.0,8973.0,19277.0,19467.0,9334.0,9304.0
133,8976.0,18893.0,9514.0,19041.0,9339.0,94037.0,18294.0,18741.0,19338.0,18938.0,8908.0
134,9219.0,18103.0,9496.0,19012.0,7957.0,91484.0,19539.0,19690.0,9251.0,9422.0,7778.0
135,9337.0,28567.0,9108.0,17260.0,9192.0,109802.0,18483.0,18026.0,8777.0,9399.0,7835.0
136,8450.0,18327.0,7601.0,19109.0,9625.0,90519.0,28492.0,19350.0,19590.0,9666.0,8937.0
137,9017.0,8980.0,9327.0,18833.0,19232.0,92468.0,18463.0,18825.0,18264.0,9979.0,7574.0
138,8314.0,7767.0,7612.0,18825.0,17898.0,86599.0,18573.0,17501.0,18643.0,7781.0,8318.0
139,9562.0,9258.0,9653.0,19322.0,19325.0,93998.0,17757.0,19171.0,18493.0,9064.0,7945.0
140,8919.0,18292.0,8886.0,18324.0,8419.0,90908.0,17790.0,9216.0,19242.0,9522.0,9010.0
141,8734.0,18483.0,9135.0,19182.0,8216.0,101892.0,19322.0,17960.0,8760.0,19290.0,8960.0
142,9571.0,9183.0,9518.0,18691.0,19405.0,103480.0,18917.0,9291.0,19613.0,7663.0,8012.0
143,7982.0,18071.0,7553.0,19343.0,8651.0,88753.0,38286.0,8524.0,18037.0,8716.0,8269.0
144,8160.0,18283.0,9522.0,18719.0,18692.0,99517.0,28556.0,9506.0,18571.0,8974.0,8440.0
145,8878.0,18798.0,8469.0,18436.0,8548.0,101027.0,19245.0,9618.0,18581.0,8030.0,8978.0
