Frame,GridMask,img_backbone,img_neck,extract_img_feat,get_bev_features (frozen),get_bevs,pts_bbox_head.get_detections,select_active_track_query,memory_bank,generate_empty_tracks,query_interact,_forward_single_frame_inference,simple_test_track,seg_head,motion_head,occ_head,planning_head,velo_update
138,4.117,20.415,24.972,53.622,11.781,69.523,26.739,5.962,5.32,4.914,6.176,135.408,141.516,22.891,5.58,4.766,6.323,4.66
139,3.943,24.975,23.212,56.116,11.02,71.174,18.58,5.678,4.462,4.155,3.648,123.366,129.248,10.768,20.311,3.996,7.39,4.363
140,4.249,45.042,6.543,60.063,7.417,71.832,29.409,4.449,6.125,5.557,5.087,137.48,141.526,23.281,5.448,5.195,15.508,4.606
141,4.723,23.105,19.714,52.188,12.905,68.529,31.313,6.579,5.602,13.919,6.522,139.044,144.989,4.125,24.747,4.653,17.854,3.953
142,3.923,19.511,33.47,60.709,4.964,69.671,30.413,5.594,5.834,5.36,5.064,136.296,142.176,23.514,5.65,15.812,6.901,4.238
143,3.629,23.728,21.208,52.298,14.751,70.914,20.096,5.39,5.677,5.208,4.886,129.037,135.17,13.367,25.358,5.337,7.707,4.004
144,4.764,18.412,29.628,56.418,4.84,65.034,29.868,13.66,5.789,5.395,5.078,132.88,138.437,23.483,5.518,4.869,15.162,4.212
145,3.902,24.854,22.909,55.63,11.546,71.221,17.229,4.403,4.544,4.218,3.957,122.187,128.587,14.432,7.978,12.455,6.896,4.407
146,4.164,20.667,25.178,54.195,12.945,71.397,24.558,6.694,5.202,6.259,6.013,135.658,140.742,12.62,25.338,5.809,9.722,4.479
147,4.743,42.368,5.504,57.438,6.29,67.383,30.009,5.929,5.664,14.055,6.431,137.578,143.126,4.133,24.789,5.991,8.177,4.202
148,4.71,23.044,20.889,53.356,12.033,70.222,19.737,4.937,5.307,4.923,4.515,125.681,130.912,11.736,23.195,4.596,8.641,3.8
149,3.662,23.973,21.459,52.885,14.887,71.672,29.986,4.929,6.019,5.716,14.098,140.574,145.49,4.583,26.47,5.794,9.505,4.687
150,4.666,41.938,5.356,56.684,6.311,66.452,29.796,4.671,5.934,5.538,13.856,134.244,139.746,4.519,26.502,5.79,9.524,4.134
151,4.064,37.224,19.59,64.967,21.402,90.718,6.742,5.652,4.873,5.984,5.723,138.795,144.609,20.188,5.405,4.948,15.443,5.147
152,4.341,26.796,21.492,57.031,15.054,76.548,13.539,6.801,5.681,5.349,4.976,137.781,143.054,15.795,12.416,14.042,8.499,4.801
153,4.147,44.801,6.246,59.357,4.765,68.412,27.959,14.281,6.301,5.963,5.733,137.534,143.793,3.616,5.956,6.153,9.211,4.686
154,4.196,37.587,19.419,65.441,19.157,89.176,13.406,6.965,5.586,5.233,4.943,144.058,150.312,13.199,24.976,5.279,9.491,5.906
155,4.228,39.62,11.493,59.603,5.055,69.04,26.837,5.525,5.712,5.374,6.618,135.797,142.075,4.485,26.486,5.824,9.491,4.767
156,3.687,23.832,21.187,52.5,13.372,69.742,18.076,6.847,5.455,4.992,6.18,128.736,134.387,12.93,25.885,5.288,8.911,5.343
157,4.121,39.282,13.43,61.053,27.635,93.212,7.46,14.373,6.025,5.825,5.561,143.028,149.215,21.791,5.711,5.495,16.079,5.888
158,3.928,22.706,21.511,52.033,15.015,71.233,21.364,4.27,4.95,6.039,5.717,125.135,130.863,12.284,23.163,5.3,9.615,
159,3.698,38.739,12.895,59.126,26.393,89.613,7.7,6.523,5.603,5.234,4.943,138.73,144.394,18.939,9.61,15.264,6.642,5.407
160,4.075,38.741,11.618,58.767,27.2,90.541,5.525,5.996,5.137,6.282,5.977,135.915,140.969,19.667,5.375,14.25,7.03,5.044
161,3.694,23.826,21.161,52.437,12.035,68.354,18.105,5.299,4.153,5.125,4.857,120.977,126.724,11.595,10.223,11.388,13.135,4.241
162,4.704,23.296,21.046,53.847,11.408,68.879,23.055,4.418,4.871,4.564,11.743,124.322,128.804,3.336,22.764,4.569,19.864,3.963
163,4.627,41.522,6.326,57.146,6.271,68.147,28.019,6.245,5.518,5.162,4.542,133.517,138.068,21.943,5.648,5.379,28.725,3.782
164,4.332,45.311,6.329,60.306,7.209,71.925,28.499,6.67,5.924,5.404,5.076,141.214,144.908,4.698,6.19,5.137,21.305,4.606
165,4.748,42.337,5.311,57.163,5.382,66.058,26.157,6.601,5.95,5.599,5.393,132.14,136.626,22.758,5.702,5.935,23.643,4.01
166,4.834,23.742,21.255,53.499,14.632,71.921,21.164,6.884,5.606,5.229,4.948,130.073,135.768,13.573,24.422,5.417,8.843,4.046
167,4.08,38.869,11.671,58.733,27.161,90.12,5.415,6.324,5.469,6.246,6.007,138.497,144.572,21.733,5.458,4.984,15.531,4.649
168,4.209,26.249,24.928,59.746,14.685,79.117,16.392,5.46,5.837,5.494,5.27,144.328,149.764,11.321,23.83,5.111,7.772,5.243
169,4.017,38.78,13.579,60.434,26.787,91.359,6.648,5.706,4.91,5.856,5.62,135.649,141.537,18.804,8.036,16.037,7.055,4.372
170,4.874,23.8,21.315,53.649,14.67,72.15,18.032,7.07,5.327,4.599,5.963,128.705,142.094,5.154,25.96,5.784,9.142,4.048
